year,series,name,top_sales,sales_percentage,cpu_code
2013,Amd A-Series                                      ,Amd A10-5800K                                     ,37538.089999999975,14.529,
2013,Amd Athlon                                        ,Amd Athlon 64 X2 6000+                            ,20222.709999999977,14.829000000000001,
2013,Amd Fx                                            ,Amd Fx-9590                                       ,113191.57999999999,21.824999999999999,
2013,Amd Opteron                                       ,Amd Opteron 6282 Se                               ,375541.69999999972,8.0700000000000003,
2013,Amd Phenom                                        ,Amd Phenom Ii X4 840                              ,34704.629999999997,37.901000000000003,
2013,Amd Sempron                                       ,Amd Sempron 64 Le-1100                            ,8161.9200000000064,100,
2013,Intel Celeron                                     ,Intel Celeron E3400                               ,14742.820000000011,13.343,
2013,Intel Core 2 Duo                                  ,Intel Core 2 Duo T9600                            ,113373.15000000002,23.544,
2013,Intel Core 2 Extreme                              ,Intel Core 2 Qx6700                               ,176448.31999999995,65.688000000000002,
2013,Intel Core 2 Quad                                 ,Intel Core 2 Quad Q9650                           ,115950.24999999988,27.181000000000001,
2013,Intel Core Duo                                    ,Intel Core Duo T2600                              ,140619.08999999985,84.415999999999997,
2013,Intel Core I3                                     ,Intel Core I3-3240T                               ,42347.370000000032,11.74,
2013,Intel Core I5                                     ,Intel Core I5-560M                                ,73705.090000000026,4.3650000000000002,
2013,Intel Core I7                                     ,Intel Core I7-990X                                ,346427.89999999997,9.2699999999999996,
2013,Intel Pentium                                     ,Intel Pentium G6950                               ,27702.989999999994,7.8659999999999997,
2013,Intel Xeon                                        ,Intel Xeon E7-4870                                ,1435736.7900000005,6.0030000000000001,
2014,Amd A-Series                                      ,Amd A10-7850K                                     ,67971.610000000001,11.231999999999999,
2014,Amd Athlon                                        ,Amd Athlon X4 760K                                ,32537.300000000014,13.994,
2014,Amd Fx                                            ,Amd Fx-9590                                       ,109798.32999999996,15.699,
2014,Amd Opteron                                       ,Amd Opteron 6282 Se                               ,499138.03000000003,8.0419999999999998,
2014,Amd Phenom                                        ,Amd Phenom Ii X4 840                              ,45358.609999999986,41.176000000000002,
2014,Amd Sempron                                       ,Amd Sempron 3850                                  ,11670.320000000005,36.246000000000002,
2014,Intel Celeron                                     ,Intel Celeron G1830                               ,20697.410000000011,8.9800000000000004,
2014,Intel Core 2 Duo                                  ,Intel Core 2 Duo T9600                            ,144975.7000000001,27.364999999999998,
2014,Intel Core 2 Extreme                              ,Intel Core 2 Qx6700                               ,233270.73000000016,66.432000000000002,
2014,Intel Core 2 Quad                                 ,Intel Core 2 Quad Q9650                           ,153366.57999999999,28.632000000000001,
2014,Intel Core Duo                                    ,Intel Core Duo T2600                              ,159038.5800000001,84.546999999999997,
2014,Intel Core I3                                     ,Intel Core I3-4340                                ,60970.780000000021,7.0099999999999998,
2014,Intel Core I5                                     ,Intel Core I5-2500                                ,96195.199999999924,3.2120000000000002,
2014,Intel Core I7                                     ,Intel Core I7-990X                                ,448890.61999999947,7.6559999999999997,
2014,Intel Pentium                                     ,Intel Pentium G6950                               ,36586.189999999988,5.3689999999999998,
2014,Intel Xeon                                        ,Intel Xeon E7-4870                                ,1833764.4900000005,3.9660000000000002,
2015,Amd A-Series                                      ,Amd A10-7800                                      ,68829.639999999985,8.3390000000000004,
2015,Amd Athlon                                        ,Amd Athlon X4 760K                                ,30778.830000000024,11.461,
2015,Amd Fx                                            ,Amd Fx-9590                                       ,146801.22000000012,15.289,
2015,Amd Opteron                                       ,Amd Opteron 6380                                  ,397133.45000000007,5.577,
2015,Amd Phenom                                        ,Amd Phenom Ii X4 840                              ,37870.239999999983,48.192999999999998,
2015,Amd Sempron                                       ,Amd Sempron 3850                                  ,20157.400000000009,44.337000000000003,
2015,Amd Turion                                        ,Amd Turion 64 X2 Tl-50                            ,25.140000000000001,100,
2015,Intel Celeron                                     ,Intel Celeron G540                                ,27030.630000000019,9.0600000000000005,
2015,Intel Core 2 Duo                                  ,Intel Core 2 Duo T9600                            ,110570.25000000003,26.814,
